generation,best_fit
1,31.26601102799564
2,31.972238126198015
3,34.188482396800964
4,36.01159217855113
5,36.565225354817244
6,37.07922119598892
7,37.07922119598892
8,37.44270487079256
9,38.66729397934155
10,38.66729397934155
11,39.27258323843446
12,39.339990804438095
13,39.9144943341795
14,40.14432961161972
15,41.09929236290244
16,41.09929236290244
17,41.728823047029664
18,41.728823047029664
19,41.728823047029664
20,41.728823047029664
21,42.24011388487135
22,42.24011388487135
23,42.24011388487135
24,42.35104153827102
25,42.37156536664
26,43.5365511069569
27,43.5365511069569
28,43.64701441541461
29,43.648070333739646
30,43.880931261421
31,43.880931261421
32,45.11121758320452
33,45.11121758320452
34,45.11121758320452
35,45.11121758320452
36,45.11121758320452
37,45.11121758320452
38,45.11121758320452
39,45.11121758320452
40,45.15009494703059
41,45.42926736432101
42,48.06278594177381
43,50.2993432489981
44,51.50180428920168
45,51.50180428920168
46,54.02843306232532
47,54.02843306232532
48,54.02843306232532
49,54.02843306232532
50,54.02843306232532
51,54.04962138012278
52,54.04962138012278
53,54.04962138012278
54,54.04962138012278
55,56.785357628482636
56,56.785357628482636
57,64.87957388330989
58,64.87957388330989
59,64.87957388330989
60,64.87957388330989
61,64.87957388330989
62,64.87957388330989
63,64.87957388330989
64,64.87957388330989
65,64.87957388330989
66,64.87957388330989
67,64.87957388330989
