generation,best_fit
1,31.55843367893508
2,34.10287258528164
3,34.10287258528164
4,34.76029112238301
5,36.66650553141925
6,36.66650553141925
7,37.04554003624899
8,39.92478432015746
9,40.14505683190152
10,40.24997262118064
11,40.414187072256105
12,40.414187072256105
13,40.414187072256105
14,40.414187072256105
15,40.54000899520256
16,40.54000899520256
17,41.054670548926616
18,41.054670548926616
19,41.490975779247705
20,41.490975779247705
21,42.11350362608991
22,42.11350362608991
23,43.178622421836046
24,43.178622421836046
25,43.337003247581606
26,43.337003247581606
27,43.337003247581606
28,43.403516718822225
29,43.403516718822225
30,43.55456532480786
31,43.55456532480786
32,43.55456532480786
33,43.55456532480786
34,43.55456532480786
35,43.55456532480786
36,43.55456532480786
37,43.55456532480786
38,43.55456532480786
39,43.55456532480786
40,43.55456532480786
