population_size,motation_chance,n_opt,death_treshold,generation_num,calls_to_fit,best_fit
40,0.2,5,0.4,105,6029,82.8406497549921
40,0.2,7,0.4,90,5064,87.75556663045703
40,0.2,10,0.4,87,5369,61.22894747121661
40,0.4,5,0.4,73,4822,86.76517982406276
40,0.4,7,0.4,81,5128,92.22756381652138
40,0.4,10,0.4,90,5861,90.43718991829066
40,0.6,5,0.4,52,3757,82.700684306883
40,0.6,7,0.4,82,5775,93.9669774154639
40,0.6,10,0.4,55,3920,93.9458775576103
40,0.8,5,0.4,99,7905,93.9669774154639
40,0.8,7,0.4,78,6249,93.9669774154639
40,0.8,10,0.4,63,5178,92.22729151730317
60,0.2,5,0.4,78,6575,89.34537851426144
60,0.2,7,0.4,66,5495,91.52992166829853
60,0.2,10,0.4,69,6217,81.28516231281158
60,0.4,5,0.4,92,9037,93.9669774154639
60,0.4,7,0.4,102,10350,88.09871556925661
60,0.4,10,0.4,59,5901,88.49664609048705
60,0.6,5,0.4,72,7762,92.79461649616967
60,0.6,7,0.4,67,7351,93.9669774154639
60,0.6,10,0.4,79,8529,93.9669774154639
60,0.8,5,0.4,74,8863,93.9458775576103
60,0.8,7,0.4,53,6475,91.56161125384773
60,0.8,10,0.4,56,6786,93.9669774154639
80,0.2,5,0.4,62,7033,91.33637335482717
80,0.2,7,0.4,131,15599,93.67586452752265
80,0.2,10,0.4,75,8483,92.16835260795382
80,0.4,5,0.4,67,8557,93.9669774154639
80,0.4,7,0.4,72,9399,93.9669774154639
80,0.4,10,0.4,58,7678,93.9669774154639
80,0.6,5,0.4,70,10007,93.9669774154639
80,0.6,7,0.4,67,9786,93.9669774154639
80,0.6,10,0.4,56,7982,93.9669774154639
80,0.8,5,0.4,59,9579,93.9669774154639
80,0.8,7,0.4,66,10647,93.9669774154639
80,0.8,10,0.4,54,8718,90.16691840834332
100,0.2,5,0.4,59,8409,93.93899234083703
100,0.2,7,0.4,47,6703,93.81358218921419
100,0.2,10,0.4,60,8516,92.98026041537236
100,0.4,5,0.4,55,8736,93.9669774154639
100,0.4,7,0.4,64,10275,93.00808705597883
100,0.4,10,0.4,51,8319,93.80817322214477
100,0.6,5,0.4,94,17334,93.9669774154639
100,0.6,7,0.4,44,7971,93.9669774154639
100,0.6,10,0.4,55,10080,93.9669774154639
100,0.8,5,0.4,45,9155,93.9669774154639
100,0.8,7,0.4,52,10537,92.03757642932317
100,0.8,10,0.4,58,11701,93.9669774154639
