population_size,motation_chance,n_opt,death_treshold,generation_num,calls_to_fit,best_fit
40,0.2,5,0.2,94,36301,84.33944181880517
40,0.2,5,0.2,57,21994,85.3572153975792
40,0.2,5,0.2,81,31405,78.8549423570832
40,0.2,5,0.2,82,31586,91.06407305303527
40,0.2,5,0.2,84,32237,87.03358334140982
40,0.2,5,0.2,52,19916,91.08213404573247
40,0.2,5,0.2,53,20750,53.23096284002067
40,0.2,5,0.2,64,24630,87.56686827657211
40,0.2,5,0.2,108,41341,90.73515987665941
40,0.2,5,0.2,92,35689,90.24587211037304
40,0.2,7,0.2,50,26690,66.77170333475604
40,0.2,7,0.2,85,44854,90.39473732061884
40,0.2,7,0.2,111,58717,86.27999448701175
40,0.2,7,0.2,61,32715,51.613658036097405
40,0.2,7,0.2,92,48886,89.1278290120431
40,0.2,7,0.2,46,24831,46.86082242539798
40,0.2,7,0.2,58,30854,74.68701998612914
40,0.2,7,0.2,80,42195,90.1008159841299
40,0.2,7,0.2,77,40934,87.91715017232974
40,0.2,7,0.2,82,44214,48.03132972179148
40,0.2,10,0.2,98,73819,63.29888698651058
40,0.2,10,0.2,76,56880,80.08078424529451
40,0.2,10,0.2,82,61315,84.12842991689074
40,0.2,10,0.2,140,105036,80.93710474408469
40,0.2,10,0.2,74,55330,82.24282248535046
40,0.2,10,0.2,85,63338,90.04192847963604
40,0.2,10,0.2,71,53124,79.1945937892953
40,0.2,10,0.2,67,50058,88.64652625722123
40,0.2,10,0.2,115,85651,93.9458775576103
40,0.2,10,0.2,61,46045,45.50951206339266
40,0.4,5,0.2,81,32153,90.69153050980944
40,0.4,5,0.2,91,35698,93.9669774154639
40,0.4,5,0.2,58,22880,89.6446959060322
40,0.4,5,0.2,68,26920,80.97552925696816
40,0.4,5,0.2,66,25903,93.82927307999837
40,0.4,5,0.2,60,23752,79.97847555274329
40,0.4,5,0.2,76,29714,93.9669774154639
40,0.4,5,0.2,53,20990,91.28835413058127
40,0.4,5,0.2,80,31476,88.90434689636649
40,0.4,5,0.2,67,26348,93.9669774154639
40,0.4,7,0.2,56,30225,93.93899234083703
40,0.4,7,0.2,61,32838,86.83849721096689
40,0.4,7,0.2,89,47806,93.9669774154639
40,0.4,7,0.2,60,32214,93.64801271515591
40,0.4,7,0.2,57,30619,89.02844300832874
40,0.4,7,0.2,71,38044,91.86073234238813
40,0.4,7,0.2,89,47591,93.82927307999837
40,0.4,7,0.2,67,35955,90.39020212633552
40,0.4,7,0.2,54,29024,86.3530950651753
40,0.4,7,0.2,79,42469,90.58096858727923
40,0.4,10,0.2,72,54207,93.81358218921419
40,0.4,10,0.2,79,59477,92.35888059572062
40,0.4,10,0.2,67,50639,82.09817610664625
40,0.4,10,0.2,74,56055,80.87331650780811
40,0.4,10,0.2,97,73301,91.18250445424185
40,0.4,10,0.2,91,68361,93.9669774154639
40,0.4,10,0.2,85,64059,85.68581223011027
40,0.4,10,0.2,63,47400,90.81152297433081
40,0.4,10,0.2,80,60311,93.9669774154639
40,0.4,10,0.2,67,50489,84.56794648396794
40,0.6,5,0.2,86,34760,93.82927307999837
40,0.6,5,0.2,56,22456,91.90108798073817
40,0.6,5,0.2,59,23514,93.83466872084178
40,0.6,5,0.2,64,25725,92.0801687504556
40,0.6,5,0.2,83,33136,90.10515646174929
40,0.6,5,0.2,66,26293,93.9669774154639
40,0.6,5,0.2,61,25073,46.6315678196182
40,0.6,5,0.2,71,28365,92.87123689458345
40,0.6,5,0.2,55,22088,88.62410384495273
40,0.6,5,0.2,42,16873,92.16835260795382
40,0.6,7,0.2,63,34609,80.5434627685747
40,0.6,7,0.2,69,37674,88.58147129818772
40,0.6,7,0.2,90,49361,91.70943650798827
40,0.6,7,0.2,91,49469,93.9669774154639
40,0.6,7,0.2,61,33199,93.9669774154639
40,0.6,7,0.2,98,53473,93.9669774154639
40,0.6,7,0.2,54,29476,93.8066836462149
40,0.6,7,0.2,63,34468,93.9458775576103
40,0.6,7,0.2,61,33260,86.73183116789927
40,0.6,7,0.2,88,47905,93.9669774154639
40,0.6,10,0.2,70,53317,92.65777658856484
40,0.6,10,0.2,73,55717,92.67887644641843
40,0.6,10,0.2,74,56229,87.39912816065568
40,0.6,10,0.2,57,43614,82.32084759431075
40,0.6,10,0.2,90,68496,93.9669774154639
40,0.6,10,0.2,72,54772,90.69848171262817
40,0.6,10,0.2,67,51007,93.9669774154639
40,0.6,10,0.2,69,52613,88.7296545608206
40,0.6,10,0.2,89,67864,93.9669774154639
40,0.6,10,0.2,56,43147,45.11476744363638
40,0.8,5,0.2,78,31927,92.67887644641843
40,0.8,5,0.2,67,27396,93.9669774154639
40,0.8,5,0.2,70,28576,93.93899234083703
40,0.8,5,0.2,64,26192,93.9669774154639
40,0.8,5,0.2,53,22191,43.04562919770942
40,0.8,5,0.2,12,5057,37.76572152220706
40,0.8,5,0.2,55,22446,92.33089552109375
40,0.8,5,0.2,87,35685,93.9458775576103
40,0.8,5,0.2,58,23581,92.16835260795382
40,0.8,5,0.2,54,22044,90.39088865710366
40,0.8,7,0.2,55,30366,92.19864013137567
40,0.8,7,0.2,68,37530,93.9669774154639
40,0.8,7,0.2,56,30953,93.9669774154639
40,0.8,7,0.2,44,24430,83.08390154207319
40,0.8,7,0.2,39,21623,91.18375493313692
40,0.8,7,0.2,59,32643,93.9669774154639
40,0.8,7,0.2,57,31480,93.9669774154639
40,0.8,7,0.2,75,41704,93.93899234083703
40,0.8,7,0.2,57,31624,91.08306085886542
40,0.8,7,0.2,55,30463,90.33124120023841
40,0.8,10,0.2,74,56745,93.9669774154639
40,0.8,10,0.2,66,50480,93.9669774154639
40,0.8,10,0.2,75,57627,93.8012880053715
40,0.8,10,0.2,70,53892,93.9669774154639
40,0.8,10,0.2,79,60799,92.01826166008536
40,0.8,10,0.2,68,52159,93.93899234083703
40,0.8,10,0.2,64,49375,92.02378523917004
40,0.8,10,0.2,86,66176,93.9669774154639
40,0.8,10,0.2,104,80075,93.9669774154639
40,0.8,10,0.2,102,79001,93.9669774154639
60,0.2,5,0.2,66,38860,91.88611832171766
60,0.2,7,0.2,53,81665,77.78605900680994
60,0.2,10,0.2,80,172175,85.20993254284065
60,0.4,5,0.2,87,224541,93.80673695111895
60,0.4,7,0.2,67,279260,93.9669774154639
60,0.4,10,0.2,54,340813,91.72182747523
60,0.6,5,0.2,55,374722,90.11825737047985
60,0.6,7,0.2,55,420349,93.9669774154639
60,0.6,10,0.2,59,488428,93.8012880053715
60,0.8,5,0.2,65,529051,92.10126860830918
60,0.8,7,0.2,33,557158,48.84052659353499
60,0.8,10,0.2,63,630398,91.98294950307778
80,0.2,5,0.2,71,55495,91.99034032923959
80,0.2,7,0.2,81,142251,92.35888059572062
80,0.2,10,0.2,65,240152,85.21180022791263
80,0.4,5,0.2,73,298647,92.4441118792588
80,0.4,7,0.2,72,377100,92.66277577418435
80,0.4,10,0.2,82,501570,93.81358218921419
80,0.6,5,0.2,53,544898,93.9669774154639
80,0.6,7,0.2,61,612449,91.84605362532369
80,0.6,10,0.2,95,758809,93.9669774154639
80,0.8,5,0.2,61,809625,93.9669774154639
80,0.8,7,0.2,46,861165,93.9669774154639
80,0.8,10,0.2,54,944980,93.9669774154639
100,0.2,5,0.2,44,43189,90.44175683018267
100,0.2,7,0.2,57,119645,91.05143713226036
100,0.2,10,0.2,74,258772,90.77926435064728
100,0.4,5,0.2,61,319917,93.9669774154639
100,0.4,7,0.2,71,416566,93.83466872084178
100,0.4,10,0.2,79,566989,93.9669774154639
100,0.6,5,0.2,54,622159,93.9669774154639
100,0.6,7,0.2,75,725540,93.9669774154639
100,0.6,10,0.2,60,840716,93.9669774154639
100,0.8,5,0.2,38,880376,93.82927307999837
100,0.8,7,0.2,51,951972,93.8012880053715
100,0.8,10,0.2,49,1047077,93.9669774154639
