population_size,motation_chance,n_opt,death_treshold,generation_num,calls_to_fit,best_fit
40,0.2,1,0.6,18,870,37.088194209915294
40,0.2,3,0.6,16,778,32.917861902297545
40,0.2,5,0.6,58,2642,65.05482353519201
40,0.4,1,0.6,45,2050,54.80247589630519
40,0.4,3,0.6,32,1452,51.05899806195048
40,0.4,5,0.6,63,2938,41.219869360531675
40,0.6,1,0.6,31,1468,47.04902561860818
40,0.6,3,0.6,21,1008,49.75052858962141
40,0.6,5,0.6,45,2112,45.83246468058268
40,0.8,1,0.6,25,1140,56.188498460494735
40,0.8,3,0.6,16,776,37.330293437128795
40,0.8,5,0.6,43,1948,55.08393275645374
60,0.2,1,0.6,43,2792,69.48956059099483
60,0.2,3,0.6,46,3088,59.31602751363479
60,0.2,5,0.6,52,3708,49.856776298173216
60,0.4,1,0.6,27,1866,55.75642632476355
60,0.4,3,0.6,49,3412,52.872764912844204
60,0.4,5,0.6,51,3482,63.811416803811866
60,0.6,1,0.6,33,2382,47.64192177924687
60,0.6,3,0.6,34,2344,62.47489841082425
60,0.6,5,0.6,44,3152,44.041111419415984
60,0.8,1,0.6,31,2086,70.02160358324304
60,0.8,3,0.6,32,2214,60.587168301743866
60,0.8,5,0.6,29,2022,54.35265409134813
80,0.2,1,0.6,18,1782,38.21544348815571
80,0.2,3,0.6,32,2872,66.32762909897939
80,0.2,5,0.6,113,10468,54.39660122863248
80,0.4,1,0.6,64,6064,43.663386874319706
80,0.4,3,0.6,58,5332,66.61036219921247
80,0.4,5,0.6,56,5252,46.44623666445495
80,0.6,1,0.6,39,3566,63.330864233714045
80,0.6,3,0.6,39,3444,71.37792503050433
80,0.6,5,0.6,41,3722,70.12303373217786
80,0.8,1,0.6,43,3750,75.94223418450332
80,0.8,3,0.6,32,2984,54.03124617634646
80,0.8,5,0.6,25,2414,44.420946269474726
100,0.2,1,0.6,41,4928,44.11239692935588
100,0.2,3,0.6,48,5366,71.30306594939057
100,0.2,5,0.6,55,6210,62.36834795335261
100,0.4,1,0.6,43,4750,78.19582798627576
100,0.4,3,0.6,34,3806,70.76426598070255
100,0.4,5,0.6,51,5670,78.20485997910673
100,0.6,1,0.6,38,4576,43.18409811555566
100,0.6,3,0.6,24,2718,68.54885357076589
100,0.6,5,0.6,42,4644,73.06818555641084
100,0.8,1,0.6,29,3352,66.91251168529853
100,0.8,3,0.6,33,3972,46.917822294827886
100,0.8,5,0.6,37,4136,70.13071033728916
40,0.2,1,0.6,67,3122,45.79541419297949
40,0.2,1,0.6,41,1926,41.86821885825617
40,0.2,3,0.6,69,3216,40.77631918998291
40,0.2,3,0.6,27,1284,38.16505844047123
40,0.2,5,0.6,47,2158,51.72685120512779
40,0.2,5,0.6,13,640,30.72713399214798
40,0.4,1,0.6,37,1742,42.12207551414175
40,0.4,1,0.6,47,2204,38.83600933866093
40,0.4,3,0.6,48,2174,57.26849043447225
40,0.4,3,0.6,30,1422,39.966381683977296
40,0.4,5,0.6,48,2248,42.51767800866215
