population_size,motation_chance,n_opt,death_treshold,generation_num,calls_to_fit,best_fit
40,0.2,1,0.4,45,2676,41.11378577786227
40,0.2,1,0.4,80,4181,81.05995147369215
40,0.2,1,0.4,31,1838,44.636169681013435
40,0.2,1,0.4,107,5514,83.52385346333809
40,0.2,1,0.4,28,1677,46.86764838214231
40,0.2,1,0.4,56,3220,50.489682409992575
40,0.2,1,0.4,78,4126,80.73518196226452
40,0.2,1,0.4,18,1035,57.31272105252749
40,0.2,1,0.4,78,4147,82.5227651916388
40,0.2,1,0.4,62,3170,83.94007939458966
40,0.2,3,0.4,101,9887,87.09955716262387
40,0.2,3,0.4,56,5529,84.89193987526777
40,0.2,3,0.4,124,12848,73.09833489711988
40,0.2,3,0.4,37,3767,66.99724347662081
40,0.2,3,0.4,77,7557,88.64883729998236
40,0.2,3,0.4,155,15769,93.9669774154639
40,0.2,3,0.4,105,10737,74.11492360743526
40,0.2,3,0.4,19,2067,38.72476111419675
40,0.2,3,0.4,131,12806,93.80817322214477
40,0.2,3,0.4,88,8855,83.00166782662818
40,0.2,5,0.4,43,6698,45.11100791673086
40,0.2,5,0.4,146,21925,80.6151142666931
40,0.2,5,0.4,68,10503,42.569815749652506
40,0.2,5,0.4,88,12979,81.76398586384595
40,0.2,5,0.4,90,13280,73.3698177123457
40,0.2,5,0.4,94,13583,93.82927307999837
40,0.2,5,0.4,78,11327,93.69709764763637
40,0.2,5,0.4,96,14127,92.35888059572062
40,0.2,5,0.4,60,9299,44.74485924833873
40,0.2,5,0.4,117,17570,70.3824270326999
40,0.4,1,0.4,64,3890,80.97253756608234
40,0.4,1,0.4,89,5696,81.42650429897631
40,0.4,1,0.4,49,2892,91.17970986388198
40,0.4,1,0.4,56,3262,91.34231591946612
40,0.4,1,0.4,49,2901,81.52292163837407
40,0.4,1,0.4,90,5260,93.9669774154639
40,0.4,1,0.4,59,3537,77.2422025266918
40,0.4,1,0.4,62,3686,78.63730000694785
40,0.4,1,0.4,91,5545,77.65015660645327
40,0.4,1,0.4,90,5657,72.42804723701877
40,0.4,3,0.4,73,7796,90.14480040585451
40,0.4,3,0.4,107,11098,93.9669774154639
40,0.4,3,0.4,110,11915,93.9669774154639
40,0.4,3,0.4,15,1760,49.91632917533338
40,0.4,3,0.4,71,7499,89.44304653317246
40,0.4,3,0.4,65,7488,45.38606217165919
40,0.4,3,0.4,140,15319,93.9669774154639
40,0.4,3,0.4,91,9596,93.82927307999837
40,0.4,3,0.4,64,6773,91.97418058387508
40,0.4,3,0.4,101,10896,92.81579175825212
40,0.4,5,0.4,59,9271,83.29241445018498
40,0.4,5,0.4,120,18800,86.27999448701175
40,0.4,5,0.4,66,10762,43.7372944344213
40,0.4,5,0.4,90,13721,93.82927307999837
40,0.4,5,0.4,89,13715,91.45439334582292
40,0.4,5,0.4,100,16297,46.083468755021926
40,0.4,5,0.4,77,12032,81.8565619261025
40,0.4,5,0.4,26,4171,63.07262399628771
40,0.4,5,0.4,68,10748,73.76411636456412
40,0.4,5,0.4,82,12663,90.98660721922151
40,0.6,1,0.4,78,5052,93.9669774154639
40,0.6,1,0.4,61,4198,82.00213395357751
40,0.6,1,0.4,62,4642,43.559483807548176
40,0.6,1,0.4,41,2805,83.69829729479683
40,0.6,1,0.4,20,1524,39.789861553247746
40,0.6,1,0.4,71,4940,77.81150873380352
40,0.6,1,0.4,91,6016,93.9669774154639
40,0.6,1,0.4,72,4829,84.53385556141619
40,0.6,1,0.4,65,4120,93.69709764763637
40,0.6,1,0.4,86,5537,93.9669774154639
40,0.6,3,0.4,78,8621,93.9669774154639
40,0.6,3,0.4,93,11053,75.80030827976958
40,0.6,3,0.4,61,6970,92.35888059572062
40,0.6,3,0.4,83,9476,87.25269897805344
40,0.6,3,0.4,65,7532,88.86840852425973
40,0.6,3,0.4,62,7006,92.11990241542247
40,0.6,3,0.4,81,9081,93.9669774154639
40,0.6,3,0.4,92,10780,90.30584393581128
40,0.6,3,0.4,69,7721,93.81358218921419
40,0.6,3,0.4,108,12429,82.06871928962413
40,0.6,5,0.4,85,13743,93.9669774154639
40,0.6,5,0.4,90,14928,82.29114771836787
40,0.6,5,0.4,68,11154,85.66602317355117
40,0.6,5,0.4,66,10761,93.9458775576103
40,0.6,5,0.4,103,16588,93.9669774154639
40,0.6,5,0.4,68,11020,90.2784544831723
40,0.6,5,0.4,66,10739,92.5248315666506
40,0.6,5,0.4,98,16016,93.9669774154639
40,0.6,5,0.4,84,13400,90.79313341690441
40,0.6,5,0.4,123,20338,93.9669774154639
40,0.8,1,0.4,77,5766,92.1555209060736
40,0.8,1,0.4,91,6489,93.9669774154639
40,0.8,1,0.4,104,8138,83.1489831967887
40,0.8,1,0.4,60,4464,93.9669774154639
40,0.8,1,0.4,66,4734,93.9669774154639
40,0.8,1,0.4,60,4402,91.20271596122575
40,0.8,1,0.4,23,1909,53.238670593761555
40,0.8,1,0.4,68,5184,90.04150825672046
40,0.8,1,0.4,98,7399,93.9669774154639
40,0.8,1,0.4,69,5019,93.9669774154639
40,0.8,3,0.4,62,7410,93.9669774154639
40,0.8,3,0.4,52,6364,91.73068868942003
40,0.8,3,0.4,79,9576,93.9669774154639
40,0.8,3,0.4,84,10060,93.9669774154639
40,0.8,3,0.4,78,9571,91.70943650798827
40,0.8,3,0.4,60,7241,93.9669774154639
40,0.8,3,0.4,68,8204,92.68387563203795
40,0.8,3,0.4,137,17033,93.9669774154639
40,0.8,3,0.4,63,7850,93.9458775576103
40,0.8,3,0.4,56,7327,48.7867270827742
40,0.8,5,0.4,59,9885,93.82927307999837
40,0.8,5,0.4,76,12953,93.82927307999837
40,0.8,5,0.4,53,9002,89.88730334368161
40,0.8,5,0.4,89,15145,93.9669774154639
40,0.8,5,0.4,85,14696,91.73068868942003
40,0.8,5,0.4,64,10749,93.9669774154639
40,0.8,5,0.4,97,16681,92.10126860830918
40,0.8,5,0.4,76,12904,91.70943650798827
40,0.8,5,0.4,54,9117,93.9669774154639
40,0.8,5,0.4,74,12810,90.95868604524622
60,0.2,1,0.4,96,8410,91.43069863620002
60,0.2,1,0.4,48,4443,66.27801888487755
60,0.2,1,0.4,40,3818,46.63655616797175
60,0.2,1,0.4,57,5400,45.99997424295233
60,0.2,1,0.4,64,5537,89.36417426944945
60,0.2,1,0.4,88,7942,82.38028576082914
