population_size,motation_chance,death_treshold,generation_num,calls_to_fit,best_fit
40,0.2,0.2,155,5462,82.1746754186423
40,0.2,0.2,81,2878,79.25405956890332
40,0.2,0.2,88,3077,76.31361819228657
40,0.2,0.2,125,4208,91.74228378741904
40,0.2,0.2,85,2825,86.98405850601513
40,0.2,0.2,68,2499,67.24064685858296
40,0.2,0.2,83,2719,81.48088539285135
40,0.2,0.2,79,2568,92.0801687504556
40,0.2,0.2,118,4192,80.66377260514155
40,0.2,0.2,89,2894,90.53817526223777
40,0.4,0.2,110,4787,88.44595079464482
40,0.4,0.2,115,4833,92.66275634010476
40,0.4,0.2,138,5847,93.91789248298345
40,0.4,0.2,50,2223,61.15885592071693
40,0.4,0.2,107,4477,93.9669774154639
40,0.4,0.2,94,3681,93.9669774154639
40,0.4,0.2,74,2973,93.91789248298345
40,0.4,0.2,80,3312,90.65931533122765
40,0.4,0.2,51,2365,45.58139828972852
40,0.4,0.2,86,3583,77.32050021987756
40,0.6,0.2,86,4258,81.8583535147481
40,0.6,0.2,73,3514,93.9669774154639
40,0.6,0.2,60,2950,84.73507517228833
40,0.6,0.2,66,3179,92.16835260795382
40,0.6,0.2,104,5235,92.10643597359316
40,0.6,0.2,95,4715,92.24873363706153
40,0.6,0.2,79,3856,90.66008189416306
40,0.6,0.2,76,3678,90.18120193679663
40,0.6,0.2,93,4463,93.81358218921419
40,0.6,0.2,59,3250,44.86492449429716
40,0.8,0.2,83,4669,93.9669774154639
40,0.8,0.2,110,6211,93.9669774154639
40,0.8,0.2,100,5640,93.9669774154639
40,0.8,0.2,100,5548,93.9669774154639
40,0.8,0.2,95,5335,93.9669774154639
40,0.8,0.2,68,3828,92.35888059572062
40,0.8,0.2,121,6930,92.24873363706153
40,0.8,0.2,57,3249,93.9458775576103
40,0.8,0.2,114,6624,93.9669774154639
40,0.8,0.2,102,5769,87.77621764584919
60,0.2,0.2,98,4964,93.9458775576103
60,0.2,0.2,101,5908,45.775912267665994
60,0.2,0.2,70,3490,86.63177937733909
60,0.2,0.2,83,4343,86.36588983777416
60,0.2,0.2,108,5468,92.11990241542247
60,0.2,0.2,92,4669,88.0162960401953
60,0.2,0.2,92,4522,91.0240549583087
60,0.2,0.2,66,3535,69.852162494947
60,0.2,0.2,84,4981,44.843760816039264
60,0.2,0.2,75,3899,92.68387563203795
60,0.4,0.2,60,4239,47.151937734477386
60,0.4,0.2,71,4569,93.66903261565342
60,0.4,0.2,93,5740,93.82927307999837
60,0.4,0.2,76,4731,93.8012880053715
60,0.4,0.2,67,4098,93.9669774154639
60,0.4,0.2,68,4099,93.9669774154639
60,0.4,0.2,82,5122,93.81358218921419
60,0.4,0.2,68,4078,92.14047014526726
60,0.4,0.2,82,5146,93.9669774154639
60,0.4,0.2,81,4894,93.9669774154639
60,0.6,0.2,101,7545,93.9458775576103
60,0.6,0.2,82,6058,93.9669774154639
60,0.6,0.2,70,5030,93.9669774154639
60,0.6,0.2,62,4507,93.9669774154639
60,0.6,0.2,72,5371,83.4171801410654
60,0.6,0.2,81,5903,93.9669774154639
60,0.6,0.2,85,6441,92.84325181995658
60,0.6,0.2,61,4598,91.56548768551102
60,0.6,0.2,61,4437,90.95118570303038
60,0.6,0.2,118,9208,93.80673695111895
60,0.8,0.2,63,5411,91.43069863620002
60,0.8,0.2,88,7538,93.9669774154639
60,0.8,0.2,69,5794,93.9669774154639
60,0.8,0.2,75,6317,93.00808705597883
60,0.8,0.2,43,3730,86.86579027678376
60,0.8,0.2,91,8015,93.9669774154639
60,0.8,0.2,68,5871,93.9669774154639
60,0.8,0.2,68,5705,93.9669774154639
60,0.8,0.2,49,4234,87.92338648550869
60,0.8,0.2,61,5171,92.81579175825212
80,0.2,0.2,59,3940,91.96175636164209
80,0.2,0.2,101,6473,93.9669774154639
80,0.2,0.2,61,3957,92.78780668362525
80,0.2,0.2,68,4758,81.52718521890631
80,0.2,0.2,75,4820,93.93899234083703
80,0.2,0.2,87,5923,93.9669774154639
80,0.2,0.2,71,4739,92.33089552109375
80,0.2,0.2,66,4442,91.18375493313692
80,0.2,0.2,94,6382,93.9669774154639
80,0.2,0.2,71,5047,93.93899234083703
80,0.4,0.2,96,8544,79.95597099029703
80,0.4,0.2,72,5949,93.9669774154639
80,0.4,0.2,76,6144,91.91427848892401
80,0.4,0.2,69,5461,92.35888059572062
80,0.4,0.2,76,6035,93.9669774154639
80,0.4,0.2,71,5669,93.9669774154639
80,0.4,0.2,83,6984,93.9669774154639
80,0.4,0.2,91,7683,93.93899234083703
80,0.4,0.2,99,8391,91.59347276013787
80,0.4,0.2,61,5003,92.33778073786702
80,0.6,0.2,63,6179,91.68145143336142
80,0.6,0.2,56,5580,91.1747308865989
80,0.6,0.2,69,6830,93.9669774154639
80,0.6,0.2,59,5749,91.14085242726802
80,0.6,0.2,85,9229,46.51330120646352
80,0.6,0.2,52,5276,93.00808705597883
80,0.6,0.2,56,5454,93.93899234083703
80,0.6,0.2,68,6822,93.83466872084178
80,0.6,0.2,59,5789,93.9669774154639
80,0.6,0.2,70,6721,93.9669774154639
80,0.8,0.2,73,8310,93.9669774154639
80,0.8,0.2,48,5476,93.9669774154639
80,0.8,0.2,66,7486,93.9669774154639
