generation,best_fit
1,29.742516376917028
2,30.31392970679818
3,32.245744910406756
4,38.4847453968606
5,39.87584984925937
6,41.15766095766796
7,42.029717692133744
8,44.82880995869802
9,45.420110583860584
10,47.800421609381495
11,48.83981712084558
12,49.66276100428385
13,49.71939101243905
14,53.15738881402595
15,54.606419526265604
16,57.7294968591214
17,57.73249032321327
18,62.50763747576014
19,63.255615657145505
20,69.1226902575037
21,74.64140438722761
22,75.85377467862776
23,75.92530067103294
24,75.92530067103294
25,78.09494262759422
26,78.96081873945913
27,78.98427956035464
28,81.18926733636388
29,81.2072731178958
30,81.2072731178958
31,88.34463259144462
32,88.38322404637238
33,91.11196462948328
34,91.11196462948328
35,91.11197007102557
36,91.11197007102557
37,92.26281102319116
38,92.26281102319116
39,92.26326411487558
40,92.39506641290924
41,93.91789248298345
42,93.91789248298345
43,93.91789248298345
44,93.91789248298345
45,93.91789248298345
46,93.91789248298345
47,93.91789248298345
48,93.91789248298345
49,93.91789248298345
50,93.91789248298345
51,93.91789248298345
