generation,best_fit
1,28.72693338429813
2,32.18943542076705
3,35.84607012623571
4,39.18772399061345
5,45.228128919432564
6,53.64792166788436
7,53.64792166788436
8,57.25006320845407
9,57.499053793946516
10,57.66663009539175
11,59.05341330207934
12,65.68905274270713
13,67.34319281646007
14,67.52341490029457
15,67.52341490029457
16,67.89135435252973
17,68.64274903630779
18,69.77054539003699
19,73.27024328853153
20,73.31335007602266
21,74.60185045132107
22,74.60185045132107
23,76.2374788129056
24,77.23263443361158
25,77.59137287852072
26,77.67694444547989
27,78.27221275666706
28,78.27221275666706
29,78.43589138732328
30,79.06809232460118
31,79.09590972796897
32,79.32518379034937
33,79.34625581404498
34,79.34625581404498
35,79.76244352377515
36,85.26355372757426
37,85.26355372757426
38,85.26355372757426
39,85.26355372757426
40,85.32480013974417
41,85.32480013974417
42,85.32493384621183
43,85.32493384621183
44,85.46263818167736
45,87.1027830979137
46,87.1027830979137
47,87.1027830979137
48,88.58535251854282
49,90.64749323463643
50,90.64749323463643
51,90.64749323463643
52,90.64749323463643
53,90.64749323463643
54,90.64749323463643
55,90.64749323463643
56,90.64749323463643
57,90.64807625702448
58,90.64807625702448
59,90.64807625702448
60,90.64807625702448
61,90.64807625702448
62,90.64807625702448
63,90.64807625702448
64,90.64807625702448
65,90.69716118950494
66,90.69716118950494
67,90.69716118950494
68,90.69716118950494
69,93.82927307999837
70,93.82927307999837
71,93.82927307999837
72,93.82927307999837
73,93.82927307999837
74,93.82927307999837
75,93.82927307999837
76,93.82927307999837
77,93.82927307999837
78,93.9669774154639
79,93.9669774154639
80,93.9669774154639
81,93.9669774154639
82,93.9669774154639
83,93.9669774154639
84,93.9669774154639
85,93.9669774154639
86,93.9669774154639
87,93.9669774154639
88,93.9669774154639
