generation,best_fit
1,28.58399445341143
2,28.905444252834645
3,29.5527607759674
4,31.678654977122793
5,33.38009739327837
6,39.26609713721187
7,39.26609713721187
8,41.83213188035016
9,43.81599173214845
10,44.15851657360053
11,44.531830287508924
12,48.814262997056844
13,50.924877546272135
14,50.924877546272135
15,55.09085718826157
16,55.09085718826157
17,56.27464697822907
18,56.27464697822907
19,56.69611097805594
20,56.69611097805594
21,57.57075237288624
22,57.950565730134294
23,58.94405898309817
24,61.424740624994826
25,61.424740624994826
26,61.424740624994826
27,63.27237628690753
28,65.38433446476823
29,69.11926685824541
30,71.38776109488563
31,73.68122085936452
32,75.9348751730235
33,75.9387397785672
34,77.95035856659925
35,77.97145842445282
36,77.97221545659978
37,79.57438264963685
38,79.57438264963685
39,79.57441996306969
40,79.57441996306969
41,79.57441996306969
42,79.57441996306969
43,79.57441996306969
44,79.57441996306969
45,79.57441996306969
46,79.57441996306969
47,79.57441996306969
48,79.57441996306969
49,82.22347645850212
50,82.22347645850212
51,82.22347645850212
52,82.22347645850212
53,92.1993064426763
54,92.1993064426763
55,92.1993064426763
56,92.1993064426763
57,92.1993064426763
58,92.1993064426763
59,92.1993064426763
60,92.1993064426763
61,92.1993064426763
62,92.1993064426763
63,93.6691125730095
64,93.6691125730095
65,93.6691125730095
66,93.6691125730095
67,93.8012880053715
68,93.8012880053715
69,93.8012880053715
70,93.8012880053715
71,93.8012880053715
72,93.8012880053715
73,93.8012880053715
74,93.8012880053715
75,93.8012880053715
76,93.8012880053715
77,93.8012880053715
