population_size,motation_chance,n_opt,death_treshold,generation_num,calls_to_fit,best_fit
40,0.2,5,0.6,95,4976,59.474909518601216
40,0.2,7,0.6,65,3317,70.36113077635466
40,0.2,10,0.6,91,4370,85.43588575758818
40,0.4,5,0.6,81,4788,81.37391541423958
40,0.4,7,0.6,75,4179,90.4976052018566
40,0.4,10,0.6,102,5588,88.11981542711021
40,0.6,5,0.6,70,4303,93.9669774154639
40,0.6,7,0.6,103,6685,93.9669774154639
40,0.6,10,0.6,63,3954,93.9669774154639
40,0.8,5,0.6,57,4028,89.97043244172907
40,0.8,7,0.6,64,4566,93.83466872084178
40,0.8,10,0.6,66,4785,91.85819154932962
60,0.2,5,0.6,84,5941,93.9669774154639
60,0.2,7,0.6,85,6172,93.69696438537623
60,0.2,10,0.6,80,5813,87.89943985740628
60,0.4,5,0.6,83,7284,89.00045793370187
60,0.4,7,0.6,68,5795,90.66008189416306
60,0.4,10,0.6,62,5214,93.7801881475179
60,0.6,5,0.6,58,5570,93.9669774154639
60,0.6,7,0.6,66,6375,93.9669774154639
60,0.6,10,0.6,55,5321,93.9669774154639
60,0.8,5,0.6,88,9614,93.9669774154639
60,0.8,7,0.6,89,9579,93.9669774154639
60,0.8,10,0.6,60,6384,93.9669774154639
80,0.2,5,0.6,79,7665,91.18391939657566
80,0.2,7,0.6,63,6137,88.77272480887686
80,0.2,10,0.6,77,7655,91.34231591946612
80,0.4,5,0.6,62,6957,92.09880255756889
80,0.4,7,0.6,70,7778,93.9669774154639
80,0.4,10,0.6,74,8644,93.9669774154639
80,0.6,5,0.6,51,6487,93.9669774154639
80,0.6,7,0.6,59,7390,93.9669774154639
80,0.6,10,0.6,78,10256,93.9669774154639
80,0.8,5,0.6,67,9531,93.9669774154639
80,0.8,7,0.6,59,8580,93.9669774154639
80,0.8,10,0.6,65,9435,93.83466872084178
100,0.2,5,0.6,56,7240,88.06481796525406
100,0.2,7,0.6,49,6107,90.43505842364519
100,0.2,10,0.6,81,9730,93.9669774154639
100,0.4,5,0.6,49,7007,92.81579175825212
100,0.4,7,0.6,58,8174,93.9669774154639
100,0.4,10,0.6,96,13949,93.9669774154639
100,0.6,5,0.6,49,7784,93.9669774154639
100,0.6,7,0.6,46,7452,93.9669774154639
100,0.6,10,0.6,55,8867,93.83466872084178
100,0.8,5,0.6,70,12671,93.9669774154639
100,0.8,7,0.6,54,9880,93.9669774154639
100,0.8,10,0.6,42,7577,93.9669774154639
