population_size,motation_chance,death_treshold,generation_num,calls_to_fit,best_fit
40,0.2,0.4,111,3656,89.02844888010002
40,0.2,0.4,86,2720,82.84559650833205
40,0.2,0.4,79,2785,74.39915268655474
40,0.2,0.4,95,3102,90.2784544831723
40,0.2,0.4,144,5014,87.9757829230264
40,0.2,0.4,109,3626,82.71349167908171
40,0.2,0.4,72,2515,76.5814829221359
40,0.2,0.4,61,2175,72.07365511535521
40,0.2,0.4,88,2934,86.48632069138365
40,0.2,0.4,134,4483,90.00343617540214
40,0.4,0.4,81,3249,90.42721243257158
40,0.4,0.4,82,3561,83.2957441198416
40,0.4,0.4,102,4223,92.98698719812526
40,0.4,0.4,111,4585,92.8764652172558
40,0.4,0.4,85,3948,44.61916297114991
40,0.4,0.4,127,5299,89.89695868315972
40,0.4,0.4,93,3670,90.69841572658271
40,0.4,0.4,77,3099,89.17765635069739
40,0.4,0.4,66,2731,88.42430201406181
40,0.4,0.4,91,3527,92.22082526226882
40,0.6,0.4,76,3668,93.9669774154639
40,0.6,0.4,61,3041,81.60433554396475
40,0.6,0.4,72,3449,93.81358218921419
40,0.6,0.4,87,4150,90.42721243257158
40,0.6,0.4,89,4299,93.80817322214477
40,0.6,0.4,77,3833,93.80673695111895
40,0.6,0.4,86,4167,93.9669774154639
40,0.6,0.4,71,3433,93.9669774154639
40,0.6,0.4,49,2364,90.25339395989583
40,0.6,0.4,73,3536,90.45110696387982
40,0.8,0.4,86,4765,93.82927307999837
40,0.8,0.4,80,4462,91.17854551957164
40,0.8,0.4,94,5187,93.93899234083703
40,0.8,0.4,83,4840,78.11116507274856
40,0.8,0.4,65,3667,93.9458775576103
40,0.8,0.4,69,3958,91.8818322002417
40,0.8,0.4,64,3598,93.9669774154639
40,0.8,0.4,115,6469,91.0100704493475
40,0.8,0.4,105,6098,90.41084744002889
40,0.8,0.4,75,4424,91.99716180223176
60,0.2,0.4,80,3989,93.9669774154639
60,0.2,0.4,61,3088,93.9458775576103
60,0.2,0.4,157,8172,91.11286735264115
60,0.2,0.4,112,5566,93.9669774154639
60,0.2,0.4,103,5160,93.9669774154639
60,0.2,0.4,86,4354,88.52855069422701
60,0.2,0.4,75,3797,90.31879663376631
60,0.2,0.4,79,3935,87.36591014370167
60,0.2,0.4,96,5002,88.50776562911591
60,0.2,0.4,94,4713,93.9669774154639
60,0.4,0.4,70,4328,92.0021256798239
60,0.4,0.4,66,4142,93.9669774154639
60,0.4,0.4,74,4587,93.8012880053715
60,0.4,0.4,68,4281,93.83466872084178
60,0.4,0.4,89,6275,45.20447203527194
60,0.4,0.4,49,3076,85.00629711266139
60,0.4,0.4,66,4115,88.13654492015034
60,0.4,0.4,72,4439,93.9669774154639
60,0.4,0.4,40,2775,51.75523379217176
60,0.4,0.4,80,5097,87.84587316264789
60,0.6,0.4,44,3288,86.14961101864553
60,0.6,0.4,63,4687,92.98698719812526
60,0.6,0.4,79,5726,93.82927307999837
60,0.6,0.4,69,5031,93.9669774154639
60,0.6,0.4,66,4862,90.5748942537562
60,0.6,0.4,70,5001,93.9669774154639
60,0.6,0.4,60,4381,93.91789248298345
60,0.6,0.4,66,4958,92.14047014526726
60,0.6,0.4,73,5215,89.88160138446753
60,0.6,0.4,57,4107,92.84325181995658
60,0.8,0.4,77,6769,93.9458775576103
60,0.8,0.4,50,4239,93.9669774154639
60,0.8,0.4,53,4455,91.56161125384773
60,0.8,0.4,79,6744,93.80673695111895
60,0.8,0.4,53,4486,93.8012880053715
60,0.8,0.4,67,5609,91.68145143336142
60,0.8,0.4,75,6353,93.9669774154639
60,0.8,0.4,150,13330,93.9669774154639
60,0.8,0.4,61,5266,92.81579175825212
60,0.8,0.4,68,5822,93.9669774154639
80,0.2,0.4,71,4846,86.55821198960658
80,0.2,0.4,88,6238,85.41144731382838
80,0.2,0.4,66,4577,81.22755654197586
80,0.2,0.4,101,6941,91.8818322002417
80,0.2,0.4,98,6612,92.35888059572062
80,0.2,0.4,64,4281,91.31233809515525
80,0.2,0.4,70,4608,83.51352994331539
80,0.2,0.4,87,5767,91.20254024763587
80,0.2,0.4,71,4778,91.8818322002417
80,0.2,0.4,82,5485,93.83466872084178
80,0.4,0.4,80,6519,93.9669774154639
80,0.4,0.4,57,4710,93.9669774154639
80,0.4,0.4,99,8263,92.11990241542247
80,0.4,0.4,78,6411,93.9669774154639
80,0.4,0.4,90,8464,44.96631567049244
80,0.4,0.4,80,6737,91.84605362532369
80,0.4,0.4,67,5432,93.9669774154639
80,0.4,0.4,50,4114,93.80817322214477
80,0.4,0.4,77,6369,93.9669774154639
80,0.4,0.4,70,5731,93.9669774154639
80,0.6,0.4,46,4543,93.9669774154639
80,0.6,0.4,76,7678,93.82927307999837
80,0.6,0.4,58,5738,90.14404292768798
80,0.6,0.4,75,7144,93.9669774154639
80,0.6,0.4,71,6980,93.82927307999837
