population_size,motation_chance,death_treshold,generation_num,best_fit
60,0.4,0.1,89,90.2784544831723
60,0.4,0.1,93,86.3349792244965
60,0.4,0.1,72,86.00512594163713
60,0.4,0.1,68,93.82927307999837
60,0.4,0.1,80,91.98294950307778
60,0.4,0.1,84,89.86820590505059
60,0.4,0.1,52,89.74276558044981
60,0.4,0.1,98,93.9669774154639
60,0.4,0.2,67,88.58147129818772
60,0.4,0.2,87,92.35888059572062
60,0.4,0.2,61,87.98839224415717
60,0.4,0.2,96,47.91562402331292
60,0.4,0.2,59,80.45493382498515
60,0.4,0.2,74,90.58181124897077
60,0.4,0.2,72,93.83466872084178
60,0.4,0.2,84,93.9669774154639
60,0.4,0.2,98,93.9669774154639
60,0.4,0.2,82,93.81358218921419
60,0.4,0.6,85,93.9669774154639
60,0.4,0.6,49,93.93899234083703
60,0.4,0.6,75,93.82927307999837
60,0.4,0.6,64,93.9669774154639
60,0.4,0.6,62,87.01309904621705
60,0.4,0.6,63,93.82927307999837
60,0.4,0.6,60,90.83715587998238
60,0.4,0.6,64,93.8012880053715
60,0.4,0.6,53,93.9669774154639
60,0.4,0.6,60,90.39088865710366
60,0.6,0.1,77,78.67922215740312
60,0.6,0.1,63,91.90438477800186
60,0.6,0.1,76,93.9458775576103
60,0.6,0.1,86,93.9669774154639
60,0.6,0.1,81,93.9669774154639
60,0.6,0.1,82,93.9669774154639
60,0.6,0.1,50,78.9729994717658
60,0.6,0.1,68,91.51252632136726
60,0.6,0.1,81,93.9669774154639
60,0.6,0.1,96,93.9669774154639
60,0.6,0.2,77,93.9669774154639
60,0.6,0.2,62,93.91789248298345
60,0.6,0.2,78,91.96184964522418
60,0.6,0.2,72,84.84567808150598
60,0.6,0.2,77,89.36951694061537
60,0.6,0.2,63,92.01826166008536
60,0.6,0.2,93,93.83466872084178
60,0.6,0.2,89,93.9669774154639
60,0.6,0.2,90,91.98219807995694
60,0.6,0.2,95,93.9669774154639
60,0.6,0.6,66,93.9669774154639
60,0.6,0.6,52,93.9669774154639
60,0.6,0.6,70,93.9669774154639
60,0.6,0.6,75,47.006238010538375
60,0.6,0.6,59,93.9669774154639
60,0.6,0.6,47,91.57055738907651
60,0.6,0.6,70,93.9669774154639
60,0.6,0.6,65,91.98294950307778
60,0.6,0.6,50,93.9669774154639
60,0.6,0.6,75,93.9669774154639
80,0.2,0.1,82,92.19964870458108
80,0.2,0.1,93,91.52992166829853
80,0.2,0.1,90,79.35739597027144
80,0.2,0.1,86,87.97540239429932
80,0.2,0.1,83,91.27063162816663
80,0.2,0.1,63,91.45439334582292
80,0.2,0.1,68,80.79120700816597
80,0.2,0.1,75,91.95757188629157
80,0.2,0.1,81,93.67599778978278
80,0.2,0.1,75,93.9669774154639
80,0.2,0.2,108,93.80673695111895
80,0.2,0.2,49,64.46697577712504
80,0.2,0.2,72,89.82162856215095
80,0.2,0.2,87,93.80817322214477
80,0.2,0.2,78,92.14047014526726
80,0.2,0.2,106,93.9669774154639
80,0.2,0.2,76,84.643568525173
80,0.2,0.2,76,92.19972540441525
80,0.2,0.2,91,85.43781819600383
80,0.2,0.2,99,93.9458775576103
80,0.2,0.6,108,82.36115277627638
80,0.2,0.6,72,89.79550890988158
80,0.2,0.6,60,84.21931552304454
80,0.2,0.6,70,87.50537853419382
80,0.2,0.6,120,69.49868146209099
80,0.2,0.6,77,93.9669774154639
80,0.2,0.6,66,86.68893848481535
80,0.2,0.6,65,81.86376482685019
80,0.2,0.6,98,93.9669774154639
80,0.2,0.6,82,93.00808705597883
80,0.4,0.1,86,93.9669774154639
80,0.4,0.1,50,87.60711890436471
80,0.4,0.1,74,92.66277577418435
80,0.4,0.1,69,93.8012880053715
80,0.4,0.1,132,93.9669774154639
80,0.4,0.1,87,93.69709764763637
80,0.4,0.1,73,93.9669774154639
80,0.4,0.1,78,93.9669774154639
80,0.4,0.1,73,93.9669774154639
80,0.4,0.1,49,86.42495828047367
80,0.4,0.2,96,93.9458775576103
80,0.4,0.2,85,92.67887644641843
80,0.4,0.2,65,46.0907744766117
80,0.4,0.2,84,93.93899234083703
80,0.4,0.2,59,93.9669774154639
80,0.4,0.2,53,93.81358218921419
80,0.4,0.2,53,91.57838047861135
80,0.4,0.2,66,93.9458775576103
80,0.4,0.2,68,82.1496346897816
80,0.4,0.2,68,93.91789248298345
80,0.4,0.6,68,93.9458775576103
80,0.4,0.6,59,93.9669774154639
80,0.4,0.6,73,92.65777658856484
80,0.4,0.6,50,93.80817322214477
80,0.4,0.6,81,93.9669774154639
80,0.4,0.6,59,93.9669774154639
80,0.4,0.6,75,93.9669774154639
80,0.4,0.6,60,93.9669774154639
80,0.4,0.6,67,93.9669774154639
80,0.4,0.6,79,91.82495376747009
80,0.6,0.1,80,93.9669774154639
80,0.6,0.1,76,93.82927307999837
80,0.6,0.1,71,93.91789248298345
80,0.6,0.1,65,93.9669774154639
80,0.6,0.1,64,93.9458775576103
80,0.6,0.1,98,93.83466872084178
80,0.6,0.1,62,93.93899234083703
80,0.6,0.1,77,92.30702943434054
80,0.6,0.1,115,93.9669774154639
80,0.6,0.1,70,93.9669774154639
80,0.6,0.2,68,90.7315365260258
80,0.6,0.2,63,93.9669774154639
80,0.6,0.2,74,93.9669774154639
80,0.6,0.2,63,93.69709764763637
80,0.6,0.2,73,93.9669774154639
80,0.6,0.2,71,93.80817322214477
80,0.6,0.2,57,91.98294950307778
80,0.6,0.2,81,93.9669774154639
80,0.6,0.2,78,92.35888059572062
80,0.6,0.2,53,92.33089552109375
80,0.6,0.6,54,93.9669774154639
80,0.6,0.6,59,91.18375493313692
80,0.6,0.6,81,93.9669774154639
80,0.6,0.6,73,93.9669774154639
80,0.6,0.6,51,93.9669774154639
80,0.6,0.6,68,93.9669774154639
80,0.6,0.6,60,93.9669774154639
80,0.6,0.6,78,45.450323498019394
80,0.6,0.6,58,93.9669774154639
80,0.6,0.6,64,93.9669774154639
100,0.2,0.1,128,93.9669774154639
100,0.2,0.1,96,93.8012880053715
100,0.2,0.1,77,93.9458775576103
100,0.2,0.1,110,92.67808742278658
100,0.2,0.1,91,92.81579175825212
100,0.2,0.1,103,93.8012880053715
100,0.2,0.1,67,47.981085210136044
100,0.2,0.1,71,48.95125705037085
100,0.2,0.1,98,93.9669774154639
100,0.2,0.1,106,93.81358218921419
100,0.2,0.2,109,84.42981352576736
100,0.2,0.2,92,86.13162001685089
100,0.2,0.2,93,93.7801881475179
100,0.2,0.2,79,93.81358218921419
100,0.2,0.2,75,90.16305345877174
100,0.2,0.2,77,93.83466872084178
100,0.2,0.2,67,89.27389745878085
100,0.2,0.2,91,91.83153613592047
100,0.2,0.2,75,87.41049200902745
100,0.2,0.2,107,80.75737483080766
100,0.2,0.6,64,93.9669774154639
100,0.2,0.6,70,93.9669774154639
100,0.2,0.6,48,88.5525735049569
100,0.2,0.6,74,93.82927307999837
100,0.2,0.6,78,91.445495276645
100,0.2,0.6,92,90.66008189416306
100,0.2,0.6,65,93.8012880053715
100,0.2,0.6,66,93.8012880053715
100,0.2,0.6,74,91.50624668811703
100,0.2,0.6,52,93.81356886298818
100,0.4,0.1,108,93.9669774154639
100,0.4,0.1,56,90.05409834594305
100,0.4,0.1,59,93.80817322214477
100,0.4,0.1,77,93.9669774154639
100,0.4,0.1,89,93.9669774154639
100,0.4,0.1,86,93.9669774154639
100,0.4,0.1,68,93.9669774154639
100,0.4,0.1,82,93.9458775576103
100,0.4,0.1,87,93.82927307999837
100,0.4,0.1,60,88.2581170638027
100,0.4,0.2,98,93.9669774154639
100,0.4,0.2,120,93.93899234083703
100,0.4,0.2,66,93.9669774154639
100,0.4,0.2,71,93.9669774154639
100,0.4,0.2,90,93.9669774154639
100,0.4,0.2,78,93.9669774154639
100,0.4,0.2,74,48.101132405892194
100,0.4,0.2,95,93.9669774154639
100,0.4,0.2,77,93.9669774154639
100,0.4,0.2,51,92.07328353368231
100,0.4,0.6,66,93.9669774154639
100,0.4,0.6,53,93.93899234083703
100,0.4,0.6,87,93.9669774154639
100,0.4,0.6,84,93.9669774154639
100,0.4,0.6,53,93.9669774154639
100,0.4,0.6,64,93.9669774154639
100,0.4,0.6,70,93.9669774154639
100,0.4,0.6,57,93.82927307999837
100,0.4,0.6,67,93.9669774154639
100,0.4,0.6,90,91.94226356355087
100,0.6,0.1,95,93.9669774154639
100,0.6,0.1,55,93.9669774154639
100,0.6,0.1,47,92.19972540441525
100,0.6,0.1,67,93.9669774154639
100,0.6,0.1,110,93.9669774154639
100,0.6,0.1,70,93.9669774154639
100,0.6,0.1,60,91.96175636164209
100,0.6,0.1,63,92.11990241542247
100,0.6,0.1,87,92.41621889227066
100,0.6,0.1,62,46.7429827603988
100,0.6,0.2,46,93.93899234083703
100,0.6,0.2,59,93.9458775576103
100,0.6,0.2,85,93.9669774154639
100,0.6,0.2,96,93.9669774154639
100,0.6,0.2,85,93.9458775576103
100,0.6,0.2,84,93.9669774154639
100,0.6,0.2,68,92.30640754379327
100,0.6,0.2,61,89.92781760450372
100,0.6,0.2,56,93.9669774154639
100,0.6,0.2,78,93.9669774154639
100,0.6,0.6,56,93.93899234083703
100,0.6,0.6,67,93.9669774154639
100,0.6,0.6,53,93.9458775576103
100,0.6,0.6,52,93.9669774154639
100,0.6,0.6,60,93.9669774154639
100,0.6,0.6,58,93.9669774154639
100,0.6,0.6,76,93.9669774154639
100,0.6,0.6,52,93.9669774154639
100,0.6,0.6,70,93.9669774154639
100,0.6,0.6,54,93.9669774154639

