population_size,motation_chance,death_treshold,generation_num,best_fit
40,0.2,0.1,54,69.86475803477202
40,0.2,0.1,108,78.91874424005722
40,0.2,0.1,42,38.707175586385006
40,0.2,0.1,61,44.43703145165365
40,0.2,0.1,87,72.2866800537253
40,0.2,0.1,71,45.40179709283254
40,0.2,0.1,129,89.29325872303484
40,0.2,0.1,64,49.77044731336242
40,0.2,0.1,72,78.54915810816465
40,0.2,0.1,115,90.35573590614403
40,0.2,0.2,78,90.34155468469135
40,0.2,0.2,99,88.07073049462976
40,0.2,0.2,86,69.76586011392214
40,0.2,0.2,78,71.4038576048744
40,0.2,0.2,88,79.48000354822416
40,0.2,0.2,79,88.46705065249841
40,0.2,0.2,117,73.33072918608133
40,0.2,0.2,79,73.82554195597106
40,0.2,0.2,166,81.20281027249078
40,0.2,0.2,96,74.92831011494724
40,0.2,0.6,64,70.92022372760945
40,0.2,0.6,77,76.48031372907772
40,0.2,0.6,99,89.90406629233121
40,0.2,0.6,78,83.024204430002
40,0.2,0.6,94,43.15558202602745
40,0.2,0.6,117,90.84348378119601
40,0.2,0.6,68,84.92175473831723
40,0.2,0.6,85,76.52352766998756
40,0.2,0.6,110,92.1555209060736
40,0.2,0.6,70,70.22139212570184
40,0.4,0.1,88,93.9669774154639
40,0.4,0.1,60,92.35888059572062
40,0.4,0.1,51,91.09447866162652
40,0.4,0.1,57,45.014980948001
40,0.4,0.1,84,71.14523838102197
40,0.4,0.1,95,78.47052144631903
40,0.4,0.1,78,80.58328735474726
40,0.4,0.1,44,42.84866968593181
40,0.4,0.1,73,45.78097330556053
40,0.4,0.1,89,90.24286763195346
40,0.4,0.2,84,92.24873363706153
40,0.4,0.2,75,90.72235933298667
40,0.4,0.2,120,91.8818322002417
40,0.4,0.2,75,86.08475624085698
40,0.4,0.2,80,93.9669774154639
40,0.4,0.2,103,91.40137078950278
40,0.4,0.2,72,83.17093794576071
40,0.4,0.2,116,93.9669774154639
40,0.4,0.2,84,89.53293225741919
40,0.4,0.2,83,93.9669774154639
40,0.4,0.6,82,92.81579175825212
40,0.4,0.6,65,84.24523438004782
40,0.4,0.6,66,87.1623541337394
40,0.4,0.6,55,88.96120881942477
40,0.4,0.6,72,93.9669774154639
40,0.4,0.6,65,90.64939678014773
40,0.4,0.6,112,86.73183116789927
40,0.4,0.6,69,86.25200941238488
40,0.4,0.6,99,83.93406847453956
40,0.4,0.6,69,91.03035970688723
40,0.6,0.1,81,93.9669774154639
40,0.6,0.1,57,91.85108874567598
40,0.6,0.1,50,66.54567345175553
40,0.6,0.1,75,91.70963080917838
40,0.6,0.1,86,93.9669774154639
40,0.6,0.1,95,93.9669774154639
40,0.6,0.1,52,85.30659425617915
40,0.6,0.1,73,93.9669774154639
40,0.6,0.1,110,92.81579175825212
40,0.6,0.1,106,93.82927307999837
40,0.6,0.2,91,93.9669774154639
