population_size,motation_chance,n_opt,death_treshold,generation_num,calls_to_fit,best_fit
40,0.2,5,0.4,53,18315,85.05062598393522
40,0.2,5,0.4,14,5011,39.11214214967247
40,0.2,5,0.4,109,37421,93.9669774154639
40,0.2,5,0.4,39,13859,43.26567057786741
40,0.2,5,0.4,95,32955,84.3153435826197
40,0.2,5,0.4,30,10525,72.59195732413316
40,0.2,5,0.4,87,30036,90.34111719385507
40,0.2,5,0.4,94,32412,90.20539436076983
40,0.2,5,0.4,86,29906,82.64350194529766
40,0.2,5,0.4,78,26865,89.87539911658615
40,0.2,7,0.4,97,46001,83.33514622892655
40,0.2,7,0.4,80,37951,93.9458775576103
40,0.2,7,0.4,52,24784,79.14660078157746
40,0.2,7,0.4,69,32929,83.31628257832548
40,0.2,7,0.4,56,26537,83.55832557963389
40,0.2,7,0.4,84,39589,91.42930255922559
40,0.2,7,0.4,150,71175,92.35888059572062
40,0.2,7,0.4,100,47098,88.29806797188094
40,0.2,7,0.4,91,42909,91.98219807995694
40,0.2,7,0.4,60,28504,79.64021726097286
40,0.2,10,0.4,87,58713,46.43261052276911
40,0.2,10,0.4,85,56584,89.06746220171826
40,0.2,10,0.4,73,48567,89.53293225741919
40,0.2,10,0.4,66,44553,48.28541314251669
40,0.2,10,0.4,41,27537,64.09923849782061
40,0.2,10,0.4,121,80260,89.88160138446753
40,0.2,10,0.4,56,37356,84.76203842824877
40,0.2,10,0.4,68,45234,88.95625536647226
40,0.2,10,0.4,123,82303,92.35888059572062
40,0.2,10,0.4,122,81380,87.65445366304509
40,0.4,5,0.4,41,14469,88.46448745388112
40,0.4,5,0.4,62,21737,92.4441118792588
40,0.4,5,0.4,81,28415,93.82927307999837
40,0.4,5,0.4,77,26982,93.9669774154639
40,0.4,5,0.4,80,28042,93.9669774154639
40,0.4,5,0.4,65,22998,86.3339913952134
40,0.4,5,0.4,59,20711,93.83466872084178
40,0.4,5,0.4,69,24434,91.83274726776126
40,0.4,5,0.4,95,33484,93.9669774154639
40,0.4,5,0.4,73,25891,93.9458775576103
40,0.4,7,0.4,62,29811,93.9669774154639
40,0.4,7,0.4,67,32240,91.6883366501347
40,0.4,7,0.4,65,31155,93.9669774154639
40,0.4,7,0.4,72,34599,92.22763377920795
40,0.4,7,0.4,66,31705,93.9669774154639
40,0.4,7,0.4,105,50427,93.9669774154639
40,0.4,7,0.4,163,79286,88.3127191747411
40,0.4,7,0.4,85,41028,84.87643102233588
40,0.4,7,0.4,68,32771,89.93192747007346
40,0.4,7,0.4,64,30781,91.84605362532369
40,0.4,10,0.4,78,52606,84.39820377228493
40,0.4,10,0.4,86,57923,93.9669774154639
40,0.4,10,0.4,57,38403,87.81949269868814
40,0.4,10,0.4,92,61910,91.92907305536502
40,0.4,10,0.4,79,53917,47.2460200827365
40,0.4,10,0.4,79,53295,78.79383734062372
40,0.4,10,0.4,75,50785,76.04117802854277
40,0.4,10,0.4,88,59502,93.82927307999837
40,0.4,10,0.4,128,86275,93.9669774154639
40,0.4,10,0.4,66,44403,86.88758571548684
40,0.6,5,0.4,72,25943,93.81358218921419
40,0.6,5,0.4,66,23850,90.32748040439039
40,0.6,5,0.4,66,23805,93.80817322214477
